Word,Clue
MORSE,- - - - - .-. ... .
DITTO,""""
LETNO,"""... ___ man put asunder"" (wedding words)"
IMETA,"""... ___ man with seven wives"""
APAIL,"""... ___ of water"""
FARAS,"""... ___ the eye can see"""
ITHEE,"""... ___ wed"""
ADATE,"""... ___ which will live in infamy"""
ATENO,"""... ___'clock scholar"""
ALEAN,"""... has ___ and hungry look"": Julius Caesar"
BOXOF,"""... like a ___ chocolates"""
NOONE,"""... said ___ ever"""
INAIR,"""... the bombs bursting ___"""
AMAID,"""... the way of a man with ___"": Proverbs"
REDAS,"""... thy cheeks look ___ Titan's face"": Shak."
ORNOT,"""... unless I'm wrong"""
IMNOT,"""___ a doctor, but ..."""
ISENT,"""___ a Letter to My Love"" (Simone Signoret film)"
ENDAS,"""___ a Man"" (Calder Willingham novel and play)"
PETES,"""___ a Pizza"" (punnily titled children's book)"
AINTI,"""___ a stinker?"" (Bugs Bunny catchphrase)"
GREYS,"""___ Anatomy"""
PORGY,"""___ and Bess"""
LAYLA,"""___ and Majnun"" (Arabic story that inspired a Clapton hit)"
RICKI,"""___ and the Flash"" (2015 Meryl Streep movie)"
IROAM,"""___ around around around around"" (repeated line in Dion and the Belmonts' ""The Wanderer"")"
CASEY,"""___ at the Bat"""
ATTHE,"""___ Ballet"" (""A Chorus Line"" song)"
ITSNO,"""___ big deal!"""
ONEIF,"""___ by land ..."""
YESWE,"""___ can"" (campaign slogan)"
TAKIN,"""___ Care of Business"" (1974 Bachman-Turner Overdrive hit)"
USEIN,"""___ case of emergency"""
BONNE,"""___ chance!"""
ERITU,"""___ che macchiavi quell'anima"" (aria opener)"
ITMAY,"""___ come to that"""
IMUST,"""___ confess ..."""
EVENI,"""___ could've told you that!"""
RIDEA,"""___ Crooked Trail"" (Audie Murphy western)"
ISITA,"""___ deal?"""
ITSTO,"""___ die for"""
NOCAN,"""___ do"" (""Not possible"")"
AREWE,"""___ done now?"""
PUTIT,"""___ down!"" (""Drop the gun!"")"
IMALL,"""___ ears!"" (""Listening!"")"
ORFEO,"""___ ed Euridice"" (Gluck opera)"
HASIT,"""___ ever occurred to you ...?"""
SEENO,"""___ evil ..."""
ITISA,"""___ far far better thing ..."": Dickens"
THEMS,"""___ fightin' words!"""
THATS,"""___ fine"""
ALAND,"""___ flowing with milk and honey"" (Canaan, in the Bible)"
WHATA,"""___ Fool Believes"" (1979 hit)"
AMOON,"""___ for the Misbegotten"""
AVIEW,"""___ From the Bridge"""
OLAFS,"""___ Frozen Adventure"" (2017 Disney film)"
LETIT,"""___ Go"" (hit song from ""Frozen"")"
ULEES,"""___ Gold"" (1997 Peter Fonda film)"
HAVEI,"""___ got a deal for you!"""
YOUVE,"""___ got mail"""
SCHON,"""___ gut!"" (""All right!""): Ger."
WOETO,"""___ him who believes in nothing"": Victor Hugo"
COMIN,"""___ Home Baby"" (1962 Mel Torme hit)"
USENO,"""___ hooks"" (shipping caution)"
RYANS,"""___ Hope"" (classic soap opera)"
CAINS,"""___ Hundred"" (early 60's TV police drama)"
TRYAS,"""___ I might ..."""
BLUME,"""___ in Love"" (1973 film)"
ABIES,"""___ Irish Rose"""
YOUTH,"""___ is easily deceived, because it is quick to hope"": Aristotle"
LOGIC,"""___ is the beginning of wisdom ... not the end"": Spock"
MAKIN,"""___ It,"" 1979 top 10 hit"
YOURE,"""___ kidding!"""
SEEMS,"""___ legit"""
ISEEA,"""___ little silhouetto of a man"" (Queen lyric)"
IHADA,"""___ lovely time"""
CARPE,"""___ manana"" (procrastinator's jokey motto)"
BAMBI,"""___ Meets Godzilla"" (classic film short)"
ACOOL,"""___ Million"" (Nathanael West novel)"
OSOLE,"""___ Mio"""
RENOS,"""___ Most Wanted"" (""best-of"" compilation of a popular TV cop show)"
ILEFT,"""___ My Heart in San Francisco"""
MEAND,"""___ My Shadow"""
FELIZ,"""___ Navidad"""
USEAS,"""___ needed"""
WELLI,"""___ never!"""
OHOLY,"""___ Night"" (Christmas carol)"
NOWIS,"""___ not the time!"""
ASHIP,"""___ of fools sailing on"" (Wang Chung lyric)"
ANEST,"""___ of robins in her hair"""
APINT,"""___ of sweat will save a gallon of blood"": Patton"
ACOAT,"""___ of Varnish"" (C. P. Snow novel)"
SOUPS,"""___ on!"" (""Come and get it!"")"
IMTHE,"""___ Only One"" (Melissa Etheridge hit)"
MOVIN,"""___ Out,"" 2003 Tony winner for Best Choreography"
ONOUR,"""___ Own,"" 1989 #2 hit by Bobby Brown"
GORKY,"""___ Park"" (1981 best seller)"
DONOT,"""___ pass Go ..."""
WETHE,"""___ people ..."""
ADAYS,"""___ Pleasure"" (Charlie Chaplin movie)"
TRYTO,"""___ relax"" (""Breathe"")"
OLMAN,"""___ River"""
IMONA,"""___ roll!"""
GOTTA,"""___ run!"""
SADTO,"""___ say ..."""
NEEDI,"""___ say more?"""
IMTOO,"""___ Sexy"" (1991 dance hit)"
INHER,"""___ Shoes"" (2005 Cameron Diaz film)"
AMATE,"""___ should keep himself to himself"": ""Treasure Island"""
INHIS,"""___ Steps"" (best-selling religious novel)"
WHOLL,"""___ Stop the Rain"" (1970 hit)"
GUTEN,"""___ Tag!"""
CANWE,"""___ talk?"""
YOULL,"""___ thank me later"""
BELAY,"""___ that order!"" (""Star Trek"" command)"
WEGOT,"""___ the Beat"" (1982 Go-Go's hit)"
PELLE,"""___ the Conqueror"" (Max von Sydow film)"
WHENS,"""___ the last time ...?"""
ONEIS,"""___ the loneliest number"" (Three Dog Night lyric)"
IPRAY,"""___ the Lord my soul to keep"""
MANIN,"""___ the Mirror"" (1988 #1 Michael Jackson hit)"
ALLOF,"""___ the other reindeer ..."""
MADAS,"""___ the sea and wind when both contend"": ""Hamlet"""
ANDON,"""___ the seventh day ..."""
SHAUN,"""___ the Sheep"" (""Wallace and Gromit"" spinoff)"
ISHOT,"""___ the Sheriff"" (1974 #1 hit)"
EYEOF,"""___ the Tiger"" (1982 hit)"
LARAS,"""___ Theme"" from ""Doctor Zhivago"""
ITHAD,"""___ to Be You"""
IFALL,"""___ to Pieces"" (Patsy Cline hit)"
WEAIM,"""___ to please"""
ISEEM,"""___ to remember ..."""
ADDIT,"""___ to the list"""
ITSUP,"""___ to you"""
AMERE,"""___ trifle!"""
DOYOU,"""___ want to dance?"""
KANES,"""___ War"" (Nick Stone book series)"
EADIE,"""___ Was a Lady"" (Ethel Merman tune)"
ALLIS,"""___ well"""
HITEM,"""___ where it hurts!"""
THOSE,"""___ Winter Sundays"" (Robert Hayden poem)"
MENAT,"""___ Work"" (George F. Will best seller)"
SINCE,"""___ you asked ..."""
IREAD,"""___ you loud and clear"""
ITOLD,"""___ you!"""
GOASK,"""___ your mother"""
OCOME,"""___, all ye faithful"""
GODEL,"""___, Escher, Bach"" (Pulitzer-winning book)"
ANDLO,"""___, the angel of the Lord came upon them"": Luke"
LETMY,"""___people go"""
RIKKI,"""___-Tikki-Tavi"""
ZTILE,"""10"" is inscribed on it"
SLAVE,"""12 Years a ___"""
OUIDA,"""A Dog of Flanders"" author"
IBSEN,"""A Doll's House"" playwright Henrik"
ISOUR,"""A Mighty Fortress ___ God"" (hymn)"
WOOLF,"""A Room of One's Own"" novelist"
BEEBE,"""A Room With a View"" clergyman"
TUBES,"""A series of ___,"" infamous analogy for the internet"
FACTS,"""A snail can sleep for up to three years"" and others"
AKILL,"""A View to ___"""
SANTE,"""A votre ___!"""
MAYLE,"""A Year in Provence"" author"
ALLYE,"""Abandon hope ___ ..."""
ASTRA,"""Ad ___ per aspera"" (motto of Kansas)"
KLEES,"""Ad Parnassum"" and ""Fish Magic,"" for two"
TRUTV,"""Adam Ruins Everything"" airer"
DWEEB,"""Adorkable"" one, maybe"
OKAPI,"""African unicorn"""
YIKES,"""Aiiieee!"""
JAFAR,"""Aladdin"" villain"
SADLY,"""Alas ..."""
LAVIN,"""Alice"" actress Linda"
IMSET,"""All good here"""
ISACT,"""All I gotta do ___ naturally"" (Beatles lyric)"
OKNOW,"""All righty then ..."""
AREGO,"""All systems ___!"""
FOSSE,"""All That Jazz"" director"
AKBAR,"""Allahu ___!"" (Muslim cry)"
CAMEA,"""Along ___ spider ..."""
SCHWA,"""America"" begins and ends with this"
NINJA,"""American ___ Warrior"""
ALASS,"""Amo, amas, I love ___"""
AMULE,"""And Absalom rode upon ___"": II Samuel 18:9"
QUOTE,"""And I ___ ..."""
IBERT,"""Angelique"" composer"
CREON,"""Antigone"" antagonist"
WORTH,"""Antiques Roadshow"" determination"
ALIAR,"""Are you calling me ___?"""
MUSTI,"""Are you giving me no choice?"""
WANNA,"""Are you interested in doin' this?"""
YAYME,"""Aren't I great?!"""
ROMEO,"""Arise, fair sun, and kill the envious moon"" speaker"
NIVEN,"""Around the World in 80 Days"" star, 1956"
LEORA,"""Arrowsmith"" wife"
MYEYE,"""As if!"""
ARDEN,"""As You Like It"" forest"
BUTNO,"""Au contraire ..."""
SPOOF,"""Austin Powers: The Spy Who Shagged Me,"" e.g."
EBERT,"""Awake in the Dark"" author"
SWEET,"""Awesome!"""
COMIC,"""Baby Blues"" or ""Rhymes With Orange"""
INNYC,"""Back ___"" (1974 Genesis song)"
LEROY,"""Bad, bad"" Brown of song"
ATRUE,"""Based on ___ story"""
ADAMA,"""Battlestar Galactica"" commander"
ADEAR,"""Be ___ ..."" (request starter)"
ADOLL,"""Be ___"" (""Help me out"")"
MOTTO,"""Be Prepared,"" for Boy Scouts"
TACET,"""Be silent,"" on a music score"
DUNNO,"""Beats me!"""
KEATS,"""Beauty is truth, truth beauty"" poet"
DARIA,"""Beavis and Butt-head"" spinoff"
BONZO,"""Bedtime for ___"""
WHOOP,"""Big ___"" (""Who cares?"")"
AWIRE,"""Bird on ___"" (Mel Gibson/Goldie Hawn comedy)"
